trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2025-07-03,1412.0,1422.69,1408.0,1415.6,1409.6,6.0,0.43,24413,3456733002.0
2025-07-04,1415.7,1431.89,1410.01,1422.22,1415.6,6.62,0.47,28767,4086547268.0
2025-07-07,1422.28,1423.5,1410.01,1410.7,1422.22,-11.52,-0.81,23855,3370562659.0
2025-07-08,1410.71,1420.0,1410.7,1416.11,1410.7,5.41,0.38,18674,2643302691.0
2025-07-09,1415.0,1429.97,1414.17,1418.88,1416.11,2.77,0.2,27745,3950810723.0
2025-07-10,1418.97,1436.18,1410.4,1426.5,1418.88,7.62,0.54,38725,5503329754.0
2025-07-11,1423.16,1458.0,1423.16,1427.0,1426.5,0.5,0.04,57243,8239010390.0
2025-07-14,1430.0,1434.98,1421.6,1423.6,1427.0,-3.4,-0.24,27781,3961736006.0
2025-07-15,1420.98,1422.93,1408.32,1411.0,1423.6,-12.6,-0.89,35406,5005150165.0
2025-07-16,1410.01,1417.49,1409.95,1411.03,1411.0,0.03,0.0,21286,3006882579.0
2025-07-17,1413.98,1423.01,1412.88,1416.35,1411.03,5.32,0.38,23106,3273100406.0
2025-07-18,1420.0,1437.81,1416.38,1437.0,1416.35,20.65,1.46,41823,5984949774.0
2025-07-21,1436.99,1446.8,1435.0,1443.0,1437.0,6.0,0.42,26203,3779891829.0
2025-07-22,1444.0,1466.6,1440.68,1464.98,1443.0,21.98,1.52,42119,6127636851.0
2025-07-23,1469.0,1495.0,1468.95,1475.5,1464.98,10.52,0.72,45045,6676301462.0
2025-07-24,1476.0,1499.0,1475.0,1491.5,1475.5,16.0,1.08,38804,5786337377.0
2025-07-25,1491.4,1491.4,1453.0,1455.0,1491.5,-36.5,-2.45,41911,6140078741.0
2025-07-28,1453.0,1454.99,1436.3,1438.66,1455.0,-16.34,-1.12,38586,5560966386.0
2025-07-29,1439.6,1448.79,1435.01,1439.0,1438.66,0.34,0.02,26304,3785848102.0
2025-07-30,1444.0,1457.16,1437.0,1449.44,1439.0,10.44,0.73,31868,4612883040.0
2025-07-31,1443.0,1444.87,1418.0,1421.67,1449.44,-27.77,-1.92,51798,7386302758.0
2025-08-01,1421.87,1425.96,1414.0,1417.0,1421.67,-4.67,-0.33,29636,4200850790.0
2025-08-04,1415.0,1419.8,1414.0,1419.0,1417.0,2.0,0.14,18688,2647105740.0
2025-08-05,1421.0,1429.94,1417.11,1427.74,1419.0,8.74,0.62,25342,3607931488.0
2025-08-06,1429.0,1429.0,1419.3,1423.88,1427.74,-3.86,-0.27,23699,3372334940.0
2025-08-07,1423.88,1427.7,1420.06,1422.35,1423.88,-1.53,-0.11,28001,3988765795.0
2025-08-08,1423.05,1426.5,1418.0,1420.97,1422.35,-1.38,-0.1,18655,2651478118.0
2025-08-11,1423.5,1451.99,1423.0,1445.0,1420.97,24.03,1.69,47159,6794034090.0
2025-08-12,1449.0,1465.07,1436.0,1437.04,1445.0,-7.96,-0.55,42019,6095342036.0
2025-08-13,1425.0,1433.68,1420.0,1420.05,1437.04,-16.99,-1.18,65528,9325460101.0
2025-08-14,1420.94,1447.51,1420.94,1426.99,1420.05,6.94,0.49,48129,6897535330.0
2025-08-15,1426.01,1428.66,1420.22,1422.08,1426.99,-4.91,-0.34,47582,6772436997.0
2025-08-18,1426.99,1436.64,1423.1,1428.5,1422.08,6.42,0.45,47378,6773477871.0
2025-08-19,1433.5,1446.66,1432.0,1438.0,1428.5,9.5,0.67,46372,6678541001.0
2025-08-20,1438.0,1452.8,1430.02,1450.0,1438.0,12.0,0.83,45805,6623095725.0
2025-08-21,1453.45,1454.99,1443.65,1448.25,1450.0,-1.75,-0.12,30891,4470441662.0
2025-08-22,1448.88,1464.0,1444.77,1463.95,1448.25,15.7,1.08,44971,6544867368.0
2025-08-25,1470.01,1496.0,1466.0,1490.33,1463.95,26.38,1.8,65325,9676719498.0
2025-08-26,1490.32,1494.23,1480.01,1481.61,1490.33,-8.72,-0.59,39602,5883917000.0
2025-08-27,1481.88,1484.93,1448.0,1448.0,1481.61,-33.61,-2.27,56006,8184169113.0
2025-08-28,1447.97,1456.1,1438.77,1446.1,1448.0,-1.9,-0.13,39282,5683673273.0
