trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,ema_12,ema_26,dif,dea,macd_bar,bb_middle,bb_upper,bb_lower,bb_bandwidth,tr,atr_14,atr_pct,stock_name,ts_code,data_source
2025-07-03,1412.0,1422.69,1408.0,1415.6,1409.6,6.0,0.43,24413,3456733002.0,,1415.6,1415.6,0.0,0.0,0.0,,,,,14.690000000000055,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-04,1415.7,1431.89,1410.01,1422.22,1415.6,6.62,0.47,28767,4086547268.0,,1416.6184615384614,1416.0903703703702,0.5280911680911231,0.10561823361822463,0.8449458689457969,,,,,21.88000000000011,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-07,1422.28,1423.5,1410.01,1410.7,1422.22,-11.52,-0.81,23855,3370562659.0,,1415.7079289940827,1415.6910836762688,0.016845317813931615,0.08786365045736604,-0.14203666528686884,,,,,13.490000000000009,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-08,1410.71,1420.0,1410.7,1416.11,1410.7,5.41,0.38,18674,2643302691.0,,1415.769786071916,1415.7221145150638,0.047671556852264985,0.07982523173634583,-0.06430734976816169,,,,,9.299999999999955,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-09,1415.0,1429.97,1414.17,1418.88,1416.11,2.77,0.2,27745,3950810723.0,,1416.2482805223906,1415.9560319583925,0.2922485639981005,0.12230989818869677,0.3398773316188075,,,,,15.799999999999955,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-10,1418.97,1436.18,1410.4,1426.5,1418.88,7.62,0.54,38725,5503329754.0,,1417.8254681343305,1416.7370666281413,1.088401506189257,0.3155282197888088,1.5457465728008963,,,,,25.779999999999973,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-11,1423.16,1458.0,1423.16,1427.0,1426.5,0.5,0.04,57243,8239010390.0,,1419.2369345752027,1417.4972839149457,1.7396506602569843,0.600352707882444,2.2785959047490807,,,,,34.83999999999992,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-14,1430.0,1434.98,1421.6,1423.6,1427.0,-3.4,-0.24,27781,3961736006.0,,1419.908175409787,1417.949336958283,1.9588384515038797,0.8720498566067312,2.173577189794297,,,,,13.38000000000011,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-15,1420.98,1422.93,1408.32,1411.0,1423.6,-12.6,-0.89,35406,5005150165.0,,1418.5376868852043,1417.4345712576696,1.1031156275346348,0.918263010792312,0.36970523348464557,,,,,15.279999999999973,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-16,1410.01,1417.49,1409.95,1411.03,1411.0,0.03,0.0,21286,3006882579.0,,1417.3826581336343,1416.9601585719163,0.42249956171804115,0.8191103209774578,-0.7932215185188334,,,,,7.539999999999964,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-17,1413.98,1423.01,1412.88,1416.35,1411.03,5.32,0.38,23106,3273100406.0,,1417.2237876515367,1416.9149616406633,0.30882601087341754,0.7170534589566498,-0.8164548961664646,,,,,11.980000000000018,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-18,1420.0,1437.81,1416.38,1437.0,1416.35,20.65,1.46,41823,5984949774.0,,1420.2662818589927,1418.4027422598733,1.863539599119349,0.9463506869891898,1.8343778242603186,,,,,21.460000000000036,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-21,1436.99,1446.8,1435.0,1443.0,1437.0,6.0,0.42,26203,3779891829.0,,1423.7637769576093,1420.2247613517345,3.539015605874738,1.4648836707662996,4.148263870216876,,,,,11.799999999999955,,,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-22,1444.0,1466.6,1440.68,1464.98,1443.0,21.98,1.52,42119,6127636851.0,,1430.1047343487462,1423.539964214569,6.564770134177252,2.48486096344849,8.159818341457523,,,,,25.919999999999845,17.36714285714285,1.1854866863126357,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-23,1469.0,1495.0,1468.95,1475.5,1464.98,10.52,0.72,45045,6676301462.0,76.05707325561164,1437.088621372016,1427.3888557542305,9.699765617785488,3.92784189431589,11.543847446939196,,,,,30.019999999999982,18.462142857142844,1.2512465508060213,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-24,1476.0,1499.0,1475.0,1491.5,1475.5,16.0,1.08,38804,5786337377.0,77.86357786357786,1445.4596026993981,1432.1378294020653,13.321773297332811,5.8066281749192745,15.030290244827073,,,,,24.0,18.613571428571408,1.2479766294717671,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-25,1491.4,1491.4,1453.0,1455.0,1491.5,-36.5,-2.45,41911,6140078741.0,64.83590087073006,1446.92735613026,1433.831323520431,13.09603260982908,7.2645090619012365,11.663047095855688,,,,,38.5,20.399999999999977,1.4020618556701014,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-28,1453.0,1454.99,1436.3,1438.66,1455.0,-16.34,-1.12,38586,5560966386.0,57.036759657991695,1445.6554551871432,1434.1890032596582,11.466451927484968,8.104897635017982,6.723108584933971,,,,,18.700000000000045,21.071428571428555,1.4646565951252244,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-29,1439.6,1448.79,1435.01,1439.0,1438.66,0.34,0.02,26304,3785848102.0,56.37515842839035,1444.6315390045058,1434.5453733885724,10.086165615933396,8.501151231201066,3.170028769464661,,,,,13.779999999999973,20.927142857142844,1.4542837287799057,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-30,1444.0,1457.16,1437.0,1449.44,1439.0,10.44,0.73,31868,4612883040.0,57.14107832150419,1445.371302234582,1435.648679063493,9.722623171088799,8.745445619178613,1.9543551038203724,1434.6535,1480.413207983518,1388.8937920164817,0.06379199992683694,20.160000000000082,20.52571428571428,1.4161134152303152,贵州茅台,600519.SH,TASK1 本地 CSV
2025-07-31,1443.0,1444.87,1418.0,1421.67,1449.44,-27.77,-1.92,51798,7386302758.0,48.58161690350739,1441.7249480446462,1434.6132213550861,7.111726689560101,8.41870183325491,-2.6139502873896205,1434.957,1480.2628839445829,1389.6511160554173,0.06314598130060033,31.440000000000055,20.282857142857146,1.4266923507464562,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-01,1421.87,1425.96,1414.0,1417.0,1421.67,-4.67,-0.33,29636,4200850790.0,48.255445125819435,1437.9211098839314,1433.3085382917463,4.612571592185077,7.657475785040945,-6.089808385711736,1434.6960000000001,1480.3694866773185,1389.0225133226818,0.06366991568571788,11.960000000000036,20.18142857142857,1.4242363141445709,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-04,1415.0,1419.8,1414.0,1419.0,1417.0,2.0,0.14,18688,2647105740.0,52.24014336917563,1435.0101699017882,1432.2486465664317,2.7615233353565145,6.678285295104059,-7.833523919495089,1435.111,1480.01072917513,1390.21127082487,0.06257317960092286,5.7999999999999545,19.50428571428571,1.3745092117185138,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-05,1421.0,1429.94,1417.11,1427.74,1419.0,8.74,0.62,25342,3607931488.0,54.46147273989428,1433.89168222459,1431.914672746696,1.9770094778941711,5.738030131662082,-7.522041307535822,1435.6924999999999,1479.8512155967867,1391.533784403213,0.061515562137138435,12.830000000000155,19.882142857142867,1.3925604701936534,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-06,1429.0,1429.0,1419.3,1423.88,1427.74,-3.86,-0.27,23699,3372334940.0,52.026263387331205,1432.3514234208071,1431.3195118024962,1.0319116183109145,4.796806428991849,-7.52978962136187,1435.9425,1479.755710636928,1392.1292893630723,0.061023628225960025,9.700000000000045,19.719285714285725,1.3848980050485802,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-07,1423.88,1427.7,1420.06,1422.35,1423.88,-1.53,-0.11,28001,3988765795.0,45.60561521387003,1430.812742894529,1430.65510352083,0.15763937369911218,3.868973017933302,-7.4226672884683795,1435.7350000000001,1479.7752253926067,1391.6947746073936,0.0613486825808475,7.6400000000001,18.732142857142872,1.3169854717293825,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-08,1423.05,1426.5,1418.0,1420.97,1422.35,-1.38,-0.1,18655,2651478118.0,43.20355401986796,1429.2984747569092,1429.9376884452129,-0.6392136883036983,2.9673356766859023,-7.213098729979201,1435.4335,1479.8068178598892,1391.060182140111,0.06182566849650518,8.5,18.49642857142859,1.3016762191621634,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-11,1423.5,1451.99,1423.0,1445.0,1420.97,24.03,1.69,47159,6794034090.0,43.912990494759924,1431.714094025077,1431.053415227049,0.6606787980279023,2.5060043009543023,-3.6906510058528,1436.5035,1480.707088935027,1392.299911064973,0.061543308366498274,31.019999999999982,18.860714285714316,1.305239742956008,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-12,1449.0,1465.07,1436.0,1437.04,1445.0,-7.96,-0.55,42019,6095342036.0,38.09730131220598,1432.533464175065,1431.4968659509714,1.0365982240937228,2.2121230855821863,-2.351049722976927,1437.8055,1480.3489818929875,1395.2620181070124,0.05917835464252645,29.069999999999936,18.79285714285717,1.3077476718015622,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-13,1425.0,1433.68,1420.0,1420.05,1437.04,-16.99,-1.18,65528,9325460101.0,28.022147031682536,1430.612931225055,1430.648949954603,-0.03601872954800456,1.7624947225561483,-3.5970269042083056,1438.2565,1479.7839535825717,1396.7290464174282,0.05774693677041856,17.039999999999964,18.295714285714308,1.2883852178243238,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-14,1420.94,1447.51,1420.94,1426.99,1420.05,6.94,0.49,48129,6897535330.0,39.46913301752012,1430.0555571904313,1430.3779166246325,-0.3223594342011893,1.3455238912046807,-3.33576665081174,1438.7884999999999,1479.3967528687535,1398.1802471312462,0.05644784187356746,27.460000000000036,17.507142857142885,1.2268581319520728,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-15,1426.01,1428.66,1420.22,1422.08,1426.99,-4.91,-0.34,47582,6772436997.0,43.18032247449813,1428.8285483919035,1429.763256133919,-0.9347077420154619,0.8894775645606523,-3.6483706131522284,1438.0425,1479.3315666680153,1396.7534333319848,0.05742398665966446,8.440000000000055,16.774285714285742,1.179559920277744,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-18,1426.99,1436.64,1423.1,1428.5,1422.08,6.42,0.45,47378,6773477871.0,45.88686931996241,1428.778002485457,1429.6696816054805,-0.8916791200235821,0.5332462276438055,-2.849850695334775,1437.3174999999999,1478.7490119710894,1395.8859880289103,0.05765116193337874,14.560000000000173,16.83000000000004,1.1781589079454,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-19,1433.5,1446.66,1432.0,1438.0,1428.5,9.5,0.67,46372,6678541001.0,45.48539857932122,1430.1967713338481,1430.2867422272968,-0.08997089344870801,0.4086028034253028,-0.9971473937480216,1435.9685,1475.3119653304782,1396.6250346695217,0.05479711474238918,18.160000000000082,16.6871428571429,1.1604410888138315,贵州茅台,600519.SH,TASK1 本地 CSV
2025-08-20,1438.0,1452.8,1430.02,1450.0,1438.0,12.0,0.83,45805,6623095725.0,62.769313981790255,1433.2434218978715,1431.7469835437932,1.4964383540782364,0.6261699135558896,1.7405368810446937,1434.6934999999999,1470.09851081099,1399.2884891890096,0.049355504588248625,22.779999999999973,16.068571428571463,1.1081773399014803,贵州茅台,600519.SH,TASK1 本地 CSV
