trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,stock_name,ts_code
2025-07-03,46.9,46.95,46.34,46.61,46.9,-0.29,-0.62,556226,2595710465.0,招商银行,600036.SH
2025-07-04,46.6,47.5,46.4,47.07,46.61,0.46,0.99,678948,3190053518.0,招商银行,600036.SH
2025-07-07,47.07,47.3,46.7,47.2,47.07,0.13,0.28,567427,2672021321.0,招商银行,600036.SH
2025-07-08,47.28,47.67,47.1,47.62,47.2,0.42,0.89,637421,3025850416.0,招商银行,600036.SH
2025-07-09,47.5,47.77,47.13,47.13,47.62,-0.49,-1.03,614566,2912999773.0,招商银行,600036.SH
2025-07-10,47.1,48.55,47.1,48.24,47.13,1.11,2.36,1219784,5860161557.0,招商银行,600036.SH
2025-07-11,46.28,46.5,45.62,45.64,48.24,-2.6,-5.39,1184443,5446393735.0,招商银行,600036.SH
2025-07-14,45.65,46.09,45.44,45.57,45.64,-0.07,-0.15,648484,2969040141.0,招商银行,600036.SH
2025-07-15,45.77,45.92,44.8,45.22,45.57,-0.35,-0.77,666206,3018332344.0,招商银行,600036.SH
2025-07-16,45.26,45.54,44.88,45.11,45.22,-0.11,-0.24,468186,2112241748.0,招商银行,600036.SH
2025-07-17,45.1,45.33,44.91,45.0,45.11,-0.11,-0.24,416895,1877218807.0,招商银行,600036.SH
2025-07-18,45.05,45.16,44.74,45.05,45.0,0.05,0.11,543431,2445283609.0,招商银行,600036.SH
2025-07-21,45.05,45.23,44.83,44.85,45.05,-0.2,-0.44,566412,2546034189.0,招商银行,600036.SH
2025-07-22,44.85,44.98,44.21,44.94,44.85,0.09,0.2,922319,4111116850.0,招商银行,600036.SH
2025-07-23,44.97,45.7,44.96,45.12,44.94,0.18,0.4,853249,3864679805.0,招商银行,600036.SH
2025-07-24,45.21,45.36,44.8,44.88,45.12,-0.24,-0.53,826620,3724435789.0,招商银行,600036.SH
2025-07-25,44.84,45.17,44.75,44.83,44.88,-0.05,-0.11,696264,3129427563.0,招商银行,600036.SH
2025-07-28,44.8,45.16,44.41,44.44,44.83,-0.39,-0.87,635127,2838575467.0,招商银行,600036.SH
2025-07-29,44.44,44.8,44.14,44.14,44.44,-0.3,-0.68,785813,3487013440.0,招商银行,600036.SH
2025-07-30,44.17,44.75,43.93,44.42,44.14,0.28,0.63,725461,3222441776.0,招商银行,600036.SH
2025-07-31,44.4,44.56,43.85,44.48,44.42,0.06,0.14,733195,3247588211.0,招商银行,600036.SH
2025-08-01,44.5,44.97,44.35,44.42,44.48,-0.06,-0.13,594621,2651723323.0,招商银行,600036.SH
2025-08-04,44.31,44.97,44.31,44.9,44.42,0.48,1.08,498008,2231447773.0,招商银行,600036.SH
2025-08-05,44.78,45.4,44.64,45.25,44.9,0.35,0.78,555258,2502003950.0,招商银行,600036.SH
2025-08-06,45.29,45.73,45.11,45.12,45.25,-0.13,-0.29,430296,1951697829.0,招商银行,600036.SH
2025-08-07,45.12,45.6,44.96,45.15,45.12,0.03,0.07,440643,1995029890.0,招商银行,600036.SH
2025-08-08,45.2,45.28,44.53,44.53,45.15,-0.62,-1.37,456422,2044145472.0,招商银行,600036.SH
2025-08-11,44.53,44.63,44.1,44.1,44.53,-0.43,-0.97,536724,2375089438.0,招商银行,600036.SH
2025-08-12,44.13,44.48,44.0,44.0,44.1,-0.1,-0.23,562252,2482688843.0,招商银行,600036.SH
2025-08-13,44.14,44.25,43.49,43.54,44.0,-0.46,-1.05,876737,3837405883.0,招商银行,600036.SH
2025-08-14,43.55,43.94,43.5,43.78,43.54,0.24,0.55,676352,2959763586.0,招商银行,600036.SH
2025-08-15,43.66,43.74,43.3,43.3,43.78,-0.48,-1.1,932957,4051326297.0,招商银行,600036.SH
2025-08-18,43.1,43.67,42.89,43.51,43.3,0.21,0.48,926397,4005818986.0,招商银行,600036.SH
2025-08-19,43.45,43.7,43.29,43.4,43.51,-0.11,-0.25,574119,2493609522.0,招商银行,600036.SH
2025-08-20,43.3,43.63,43.15,43.45,43.4,0.05,0.12,547240,2374776328.0,招商银行,600036.SH
2025-08-21,43.5,43.59,43.23,43.47,43.45,0.02,0.05,578540,2512170016.0,招商银行,600036.SH
2025-08-22,43.47,43.48,43.04,43.26,43.47,-0.21,-0.48,794496,3432029283.0,招商银行,600036.SH
2025-08-25,43.32,43.87,43.11,43.87,43.26,0.61,1.41,907390,3956212555.0,招商银行,600036.SH
2025-08-26,43.89,44.02,43.42,43.52,43.87,-0.35,-0.8,755722,3296532147.0,招商银行,600036.SH
2025-08-27,43.5,43.66,43.0,43.0,43.52,-0.52,-1.19,758141,3280973424.0,招商银行,600036.SH
2025-08-28,43.02,43.3,42.6,42.98,43.0,-0.02,-0.05,822426,3530397264.0,招商银行,600036.SH
2025-08-29,42.98,43.99,42.89,42.89,42.98,-0.09,-0.21,1360879,5896873900.0,招商银行,600036.SH
2025-09-01,42.62,42.64,41.88,41.98,42.89,-0.91,-2.12,1276333,5381676513.0,招商银行,600036.SH
2025-09-02,41.86,43.5,41.86,43.44,41.98,1.46,3.48,1452141,6232062120.0,招商银行,600036.SH
2025-09-03,43.44,43.57,42.7,42.9,43.44,-0.54,-1.24,818406,3528703354.0,招商银行,600036.SH
2025-09-04,42.81,43.32,42.14,43.05,42.9,0.15,0.35,935363,3997574925.0,招商银行,600036.SH
2025-09-05,43.0,43.02,42.53,42.76,43.05,-0.29,-0.67,572328,2449941047.0,招商银行,600036.SH
2025-09-08,42.7,43.1,42.37,42.43,42.76,-0.33,-0.77,851682,3635065671.0,招商银行,600036.SH
2025-09-09,42.42,42.88,42.4,42.83,42.43,0.4,0.94,589527,2515896773.0,招商银行,600036.SH
2025-09-10,42.8,43.15,42.56,43.0,42.83,0.17,0.4,471387,2022413171.0,招商银行,600036.SH
2025-09-11,43.13,43.33,42.78,43.3,43.0,0.3,0.7,650731,2804175734.0,招商银行,600036.SH
2025-09-12,43.38,43.47,42.42,42.54,43.3,-0.76,-1.76,823140,3521647843.0,招商银行,600036.SH
2025-09-15,42.48,42.79,42.11,42.22,42.54,-0.32,-0.75,699491,2964121228.0,招商银行,600036.SH
2025-09-16,42.32,42.43,41.66,41.75,42.22,-0.47,-1.11,859051,3600259578.0,招商银行,600036.SH
2025-09-17,41.76,42.19,41.7,41.76,41.75,0.01,0.02,572363,2392440771.0,招商银行,600036.SH
2025-09-18,41.78,41.84,40.8,40.83,41.76,-0.93,-2.23,1003522,4131887418.0,招商银行,600036.SH
2025-09-19,40.8,41.53,40.55,41.0,40.83,0.17,0.42,836563,3440376826.0,招商银行,600036.SH
2025-09-22,41.15,41.37,40.8,40.92,41.0,-0.08,-0.2,656110,2688228051.0,招商银行,600036.SH
2025-09-23,40.98,41.75,40.63,41.55,40.92,0.63,1.54,938851,3891395841.0,招商银行,600036.SH
2025-09-24,41.5,41.89,41.29,41.32,41.55,-0.23,-0.55,643900,2672303416.0,招商银行,600036.SH
2025-09-25,41.32,41.36,40.81,40.82,41.32,-0.5,-1.21,666949,2730478547.0,招商银行,600036.SH
2025-09-26,40.81,41.0,40.3,40.8,40.82,-0.02,-0.05,682767,2773964882.0,招商银行,600036.SH
2025-09-29,40.77,41.29,40.36,40.68,40.8,-0.12,-0.29,835551,3407163055.0,招商银行,600036.SH
2025-09-30,40.65,40.79,40.41,40.41,40.68,-0.27,-0.66,700025,2836889513.0,招商银行,600036.SH
2025-10-09,40.21,40.44,39.82,40.33,40.41,-0.08,-0.2,972320,3900217891.0,招商银行,600036.SH
2025-10-10,40.3,40.65,40.13,40.18,40.33,-0.15,-0.37,955050,3852817637.0,招商银行,600036.SH
2025-10-13,39.76,40.3,39.7,40.11,40.18,-0.07,-0.17,1065936,4266014498.0,招商银行,600036.SH
2025-10-14,40.09,41.49,39.83,41.26,40.11,1.15,2.87,1733827,7102543598.0,招商银行,600036.SH
2025-10-15,41.25,41.57,41.01,41.5,41.26,0.24,0.58,1062767,4392820738.0,招商银行,600036.SH
2025-10-16,41.5,41.99,41.13,41.93,41.5,0.43,1.04,1062488,4427156848.0,招商银行,600036.SH
2025-10-17,41.88,42.22,41.38,41.59,41.93,-0.34,-0.81,829827,3470670301.0,招商银行,600036.SH
2025-10-20,41.61,41.79,41.1,41.42,41.59,-0.17,-0.41,649477,2694843445.0,招商银行,600036.SH
2025-10-21,41.49,42.1,41.49,41.98,41.42,0.56,1.35,759931,3184239228.0,招商银行,600036.SH
2025-10-22,41.98,42.2,41.73,41.95,41.98,-0.03,-0.07,551334,2311324892.0,招商银行,600036.SH
2025-10-23,41.95,42.49,41.78,42.24,41.95,0.29,0.69,713174,3004975799.0,招商银行,600036.SH
2025-10-24,42.35,42.45,41.85,41.95,42.24,-0.29,-0.69,698832,2938870335.0,招商银行,600036.SH
2025-10-27,41.9,41.97,41.42,41.59,41.95,-0.36,-0.86,988949,4120096208.0,招商银行,600036.SH
2025-10-28,41.62,41.72,41.23,41.6,41.59,0.01,0.02,705951,2928533807.0,招商银行,600036.SH
2025-10-29,41.53,41.53,40.69,40.77,41.6,-0.83,-2.0,910988,3735043026.0,招商银行,600036.SH
2025-10-30,40.8,41.36,40.73,41.2,40.77,0.43,1.05,1131538,4648170384.0,招商银行,600036.SH
2025-10-31,41.26,41.3,40.84,40.89,41.2,-0.31,-0.75,702607,2881797758.0,招商银行,600036.SH
2025-11-03,41.14,41.97,41.06,41.79,40.89,0.9,2.2,921981,3837027068.0,招商银行,600036.SH
2025-11-04,41.84,43.11,41.81,43.01,41.79,1.22,2.92,1340036,5731414416.0,招商银行,600036.SH
2025-11-05,43.1,43.47,42.75,42.8,43.01,-0.21,-0.49,731714,3142006312.0,招商银行,600036.SH
2025-11-06,42.65,42.89,42.31,42.34,42.8,-0.46,-1.07,871973,3704094152.0,招商银行,600036.SH
2025-11-07,42.4,42.72,42.28,42.51,42.34,0.17,0.4,593191,2521251002.0,招商银行,600036.SH
2025-11-10,42.45,42.88,42.28,42.72,42.51,0.21,0.49,532369,2272065471.0,招商银行,600036.SH
2025-11-11,42.69,43.04,42.52,42.96,42.72,0.24,0.56,544671,2335614860.0,招商银行,600036.SH
2025-11-12,43.12,43.36,42.93,42.93,42.96,-0.03,-0.07,587929,2538488042.0,招商银行,600036.SH
2025-11-13,42.97,43.3,42.74,43.21,42.93,0.28,0.65,587980,2531083386.0,招商银行,600036.SH
2025-11-14,43.24,43.59,43.18,43.25,43.21,0.04,0.09,518210,2251121743.0,招商银行,600036.SH
2025-11-17,43.1,43.2,42.5,42.65,43.25,-0.6,-1.39,610674,2605355053.0,招商银行,600036.SH
2025-11-18,42.56,42.91,42.44,42.88,42.65,0.23,0.54,517439,2210394705.0,招商银行,600036.SH
2025-11-19,42.88,43.5,42.8,43.22,42.88,0.34,0.79,511696,2211527918.0,招商银行,600036.SH
2025-11-20,43.22,43.79,43.05,43.23,43.22,0.01,0.02,585852,2545450519.0,招商银行,600036.SH
2025-11-21,43.24,43.55,42.76,43.0,43.23,-0.23,-0.53,791264,3414438913.0,招商银行,600036.SH
2025-11-24,43.1,43.21,42.51,42.63,43.0,-0.37,-0.86,678549,2903502508.0,招商银行,600036.SH
2025-11-25,42.66,43.3,42.44,43.25,42.63,0.62,1.45,666409,2860710968.0,招商银行,600036.SH
2025-11-26,43.34,43.63,42.97,43.25,43.25,0.0,0.0,451072,1950643252.0,招商银行,600036.SH
2025-11-27,43.18,43.39,42.6,43.19,43.25,-0.06,-0.14,621434,2671439102.0,招商银行,600036.SH
2025-11-28,43.1,43.12,42.82,42.95,43.19,-0.24,-0.56,494658,2126261782.0,招商银行,600036.SH
2025-12-01,43.08,43.47,42.93,43.44,42.95,0.49,1.14,567919,2454940643.0,招商银行,600036.SH
