trade_date,stock_name,ts_code,close,ma_short,ma_long,golden_cross,death_cross,signal,cash,shares,position_ratio,total_asset,strategy_nav,strategy_return,benchmark_nav,benchmark_return,cummax_nav,drawdown
2025-07-03,贵州茅台,600519.SH,1415.6,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0,0.0,1.0,0.0
2025-07-04,贵州茅台,600519.SH,1422.22,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0046764622774795,0.004676462277479532,1.0,0.0
2025-07-07,贵州茅台,600519.SH,1410.7,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9965385702175756,-0.008100012656269695,1.0,0.0
2025-07-08,贵州茅台,600519.SH,1416.11,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0003602712630686,0.003834975544056096,1.0,0.0
2025-07-09,贵州茅台,600519.SH,1418.88,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0023170387115006,0.0019560627352397386,1.0,0.0
2025-07-10,贵州茅台,600519.SH,1426.5,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.007699915230291,0.005370433017591214,1.0,0.0
2025-07-11,贵州茅台,600519.SH,1427.0,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0080531223509466,0.000350508236943492,1.0,0.0
2025-07-14,贵州茅台,600519.SH,1423.6,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0056513139304888,-0.0023826208829712536,1.0,0.0
2025-07-15,贵州茅台,600519.SH,1411.0,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.996750494489969,-0.008850800786737723,1.0,0.0
2025-07-16,贵州茅台,600519.SH,1411.03,1418.264,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9967716869172083,2.1261516654824675e-05,1.0,0.0
2025-07-17,贵州茅台,600519.SH,1416.35,1418.339,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0005298106809832,0.0037702954579277304,1.0,0.0
2025-07-18,贵州茅台,600519.SH,1437.0,1419.817,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0151172647640576,0.014579729586613466,1.0,0.0
2025-07-21,贵州茅台,600519.SH,1443.0,1423.047,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0193557502119244,0.00417536534446783,1.0,0.0
2025-07-22,贵州茅台,600519.SH,1464.98,1427.934,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0348827352359424,0.015232155232155264,1.0,0.0
2025-07-23,贵州茅台,600519.SH,1475.5,1433.596,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0423142130545353,0.00718098540594414,1.0,0.0
2025-07-24,贵州茅台,600519.SH,1491.5,1440.096,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0536168409155129,0.01084378176889178,1.0,0.0
2025-07-25,贵州茅台,600519.SH,1455.0,1442.896,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0278327211076577,-0.024472008045591576,1.0,0.0
2025-07-28,贵州茅台,600519.SH,1438.66,1444.4019999999998,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0162899124046343,-0.01123024054982813,1.0,0.0
2025-07-29,贵州茅台,600519.SH,1439.0,1447.2019999999998,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0165300932466799,0.00023633103026399205,1.0,0.0
2025-07-30,贵州茅台,600519.SH,1449.44,1451.0430000000001,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0239050579259679,0.007255038220986831,1.0,0.0
2025-07-31,贵州茅台,600519.SH,1421.67,1451.575,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0042879344447586,-0.019159123523567634,1.0,0.0
2025-08-01,贵州茅台,600519.SH,1417.0,1449.575,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0009889799378355,-0.003284869203120544,1.0,0.0
2025-08-04,贵州茅台,600519.SH,1419.0,1447.175,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0024018084204578,0.0014114326040932657,1.0,0.0
2025-08-05,贵州茅台,600519.SH,1427.74,1443.451,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0085758688895168,0.006159267089499654,1.0,0.0
2025-08-06,贵州茅台,600519.SH,1423.88,1438.2890000000002,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.005849109918056,-0.002703573479765131,1.0,0.0
2025-08-07,贵州茅台,600519.SH,1422.35,1431.3740000000003,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.00476829612885,-0.0010745287524229763,1.0,0.0
2025-08-08,贵州茅台,600519.SH,1420.97,1427.971,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0037934444758407,-0.0009702253313178533,1.0,0.0
2025-08-11,贵州茅台,600519.SH,1445.0,1428.605,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0207685786945466,0.01691098334236485,1.0,0.0
2025-08-12,贵州茅台,600519.SH,1437.04,1428.409,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0151455213337102,-0.005508650519031155,1.0,0.0
2025-08-13,贵州茅台,600519.SH,1420.05,1425.47,1431.5923333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0031435433738345,-0.011822913767188137,1.0,0.0
2025-08-14,贵州茅台,600519.SH,1426.99,1426.002,1431.9720000000002,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0080460582085335,0.004887151860849981,1.0,0.0
2025-08-15,贵州茅台,600519.SH,1422.08,1426.51,1431.9673333333333,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.004577564283696,-0.0034408089755358917,1.0,0.0
