trade_date,stock_name,ts_code,direction,signal,close,trade_price,shares,fee,slippage_cost,cash_before,shares_before,cash_after,shares_after,total_asset,trade_pnl
2025-08-15,宁德时代,300750.SZ,买入,金叉,280.67,280.726134,300,25.265352059999998,16.8402,100000.0,0,15756.894447939994,300,99957.89444794,
2025-10-15,宁德时代,300750.SZ,卖出,死叉,369.3,369.22614000000004,300,33.2303526,22.158,15756.894447939994,300,126491.50609534001,0,126491.50609534001,26491.50609534001
2025-10-27,宁德时代,300750.SZ,买入,金叉,386.18,386.257236,300,34.76315123999999,23.1708,126491.50609534001,0,10579.57214410002,300,126433.57214410002,
2025-11-20,宁德时代,300750.SZ,卖出,死叉,379.39,379.314122,300,34.13827098,22.7634,10579.57214410002,300,124339.67047312003,0,124339.67047312003,-2151.83562221998
2025-12-05,宁德时代,300750.SZ,买入,金叉,389.09,389.16781799999995,300,35.025103619999996,23.345399999999998,124339.67047312003,0,7554.299969500033,300,124281.29996950002,
2025-12-18,宁德时代,300750.SZ,卖出,死叉,372.0,371.92560000000003,300,33.473304,22.32,7554.299969500033,300,119098.50666550004,0,119098.50666550004,-5241.163807619989
2026-02-04,宁德时代,300750.SZ,买入,金叉,365.03,365.10300599999994,300,32.85927053999999,21.901799999999998,119098.50666550004,0,9534.74559496007,300,119043.74559496006,
2026-02-27,宁德时代,300750.SZ,卖出,死叉,342.01,341.941598,300,30.774743819999998,20.5206,9534.74559496007,300,112086.45025114006,0,112086.45025114006,-7012.056414359977
2026-03-11,宁德时代,300750.SZ,买入,金叉,396.8,396.87936,200,23.812761599999998,15.872,112086.45025114006,0,32686.765489540063,200,112046.76548954006,
2026-04-03,宁德时代,300750.SZ,卖出,死叉,386.46,386.382708,200,23.182962479999997,15.458400000000001,32686.765489540063,200,109940.12412706006,0,109940.12412706006,-2146.3261240800057
2026-04-14,宁德时代,300750.SZ,买入,金叉,430.79,430.87615800000003,200,25.852569479999996,17.2316,109940.12412706006,0,23739.039957580055,200,109897.03995758005,
2026-05-13,宁德时代,300750.SZ,卖出,死叉,434.05,433.96319,200,26.0377914,17.362000000000002,23739.039957580055,200,110505.64016618006,0,110505.64016618006,565.5160391200043
2026-06-02,宁德时代,300750.SZ,买入,金叉,433.89,433.97677799999997,200,26.038606679999997,17.355600000000003,110505.64016618006,0,23684.24595950007,200,110462.24595950007,
2026-06-08,宁德时代,300750.SZ,卖出,死叉,393.02,392.941396,200,23.57648376,15.7208,23684.24595950007,200,102248.94867574007,0,102248.94867574007,-8256.69149043999
2026-06-25,宁德时代,300750.SZ,买入,金叉,401.9,401.98037999999997,200,24.118822799999997,16.076,102248.94867574007,0,21828.753852940077,200,102208.75385294008,
2026-06-29,宁德时代,300750.SZ,卖出,死叉,392.36,392.28152800000004,200,23.53689168,15.6944,21828.753852940077,200,100261.52256126008,0,100261.52256126008,-1987.4261144799966
