trade_date,stock_name,ts_code,direction,signal,close,trade_price,shares,fee,slippage_cost,cash_before,shares_before,cash_after,shares_after,total_asset,trade_pnl
2025-08-06,招商银行,600036.SH,买入,金叉,45.12,45.129023999999994,2200,29.785155839999994,19.852800000000002,100000.0,0,686.3620441600069,2200,99950.36204416,
2025-08-12,招商银行,600036.SH,卖出,死叉,44.0,43.9912,2200,29.034191999999997,19.36,686.3620441600069,2200,97437.96785216,0,97437.96785216,-2562.03214784
2025-10-16,招商银行,600036.SH,买入,金叉,41.93,41.938386,2300,28.93748634,19.2878,97437.96785216,0,950.7425658199936,2300,97389.74256582,
2025-10-31,招商银行,600036.SH,卖出,死叉,40.89,40.881822,2300,28.208457179999996,18.8094,950.7425658199936,2300,94950.72470864,0,94950.72470864,-2487.243143519998
2025-11-05,招商银行,600036.SH,买入,金叉,42.8,42.80855999999999,2200,28.253649599999992,18.832,94950.72470864,0,743.639059040026,2200,94903.63905904003,
2025-12-10,招商银行,600036.SH,卖出,死叉,41.7,41.691660000000006,2200,27.516495600000002,18.348000000000003,743.639059040026,2200,92437.77456344005,0,92437.77456344005,-2512.950145199953
2025-12-30,招商银行,600036.SH,买入,金叉,42.28,42.288456000000004,2100,26.64172728,17.7576,92437.77456344005,0,3605.3752361600345,2100,92393.37523616003,
2026-01-12,招商银行,600036.SH,卖出,死叉,41.12,41.111776,2100,25.900418879999997,17.270400000000002,3605.3752361600345,2100,89914.20441728002,0,89914.20441728002,-2523.5701461600256
2026-02-04,招商银行,600036.SH,买入,金叉,39.01,39.017801999999996,2300,26.922283379999993,17.9446,89914.20441728002,0,146.33753390003403,2300,89869.33753390003,
2026-02-26,招商银行,600036.SH,卖出,死叉,38.7,38.692260000000005,2300,26.6976594,17.802,146.33753390003403,2300,89111.83787450004,0,89111.83787450004,-802.366542779986
2026-03-09,招商银行,600036.SH,买入,金叉,38.79,38.797758,2200,25.60652028,17.067600000000002,89111.83787450004,0,3731.1637542200333,2200,89069.16375422003,
2026-03-25,招商银行,600036.SH,卖出,死叉,39.26,39.252148,2200,25.906417679999993,17.2744,3731.1637542200333,2200,90059.98293654002,0,90059.98293654002,948.1450620399846
2026-04-08,招商银行,600036.SH,买入,金叉,39.62,39.62792399999999,2200,26.15442983999999,17.4328,90059.98293654002,0,2852.3957067000447,2200,90016.39570670004,
2026-04-09,招商银行,600036.SH,卖出,死叉,39.26,39.252148,2200,25.906417679999993,17.2744,2852.3957067000447,2200,89181.21488902003,0,89181.21488902003,-878.7680475199886
2026-04-17,招商银行,600036.SH,买入,金叉,39.52,39.527904,2200,26.08841664,17.3888,89181.21488902003,0,2193.737672380026,2200,89137.73767238003,
2026-04-29,招商银行,600036.SH,卖出,死叉,38.5,38.4923,2200,25.404918,16.94,2193.737672380026,2200,86851.39275438002,0,86851.39275438002,-2329.8221346400096
2026-06-01,招商银行,600036.SH,买入,金叉,38.2,38.207640000000005,2200,25.2170424,16.808,86851.39275438002,0,2769.3677119800122,2200,86809.36771198001,
2026-06-18,招商银行,600036.SH,卖出,死叉,37.26,37.252548,2200,24.586681679999998,16.3944,2769.3677119800122,2200,84700.38663030001,0,84700.38663030001,-2151.0061240800133
