trade_date,close,cash,shares,units,position_value,total_asset,action,donchian_high,donchian_low,atr,stop_price
2025-07-03,262.59,100000.0,0,0,0.0,100000.0,,,,,
2025-07-04,265.8,100000.0,0,0,0.0,100000.0,,,,,
2025-07-07,260.89,100000.0,0,0,0.0,100000.0,,,,,
2025-07-08,263.31,100000.0,0,0,0.0,100000.0,,,,,
2025-07-09,270.8,100000.0,0,0,0.0,100000.0,,,,,
2025-07-10,272.0,100000.0,0,0,0.0,100000.0,,,,,
2025-07-11,271.5,100000.0,0,0,0.0,100000.0,,,,,
2025-07-14,268.5,100000.0,0,0,0.0,100000.0,,,,,
2025-07-15,267.75,100000.0,0,0,0.0,100000.0,,,,,
2025-07-16,264.4,100000.0,0,0,0.0,100000.0,,,,,
2025-07-17,265.5,100000.0,0,0,0.0,100000.0,,,250.59,,
2025-07-18,271.2,100000.0,0,0,0.0,100000.0,,,258.88,,
2025-07-21,279.66,100000.0,0,0,0.0,100000.0,,,258.88,,
2025-07-22,286.66,100000.0,0,0,0.0,100000.0,,,259.82,7.854999999999988,
2025-07-23,287.02,100000.0,0,0,0.0,100000.0,,,262.1,7.250714285714277,
2025-07-24,285.2,100000.0,0,0,0.0,100000.0,,,263.04,7.057142857142845,
2025-07-25,282.8,100000.0,0,0,0.0,100000.0,,,263.04,6.589285714285702,
2025-07-28,286.3,100000.0,0,0,0.0,100000.0,,,263.04,6.7114285714285575,
2025-07-29,291.82,100000.0,0,0,0.0,100000.0,,,263.04,6.235714285714274,
2025-07-30,277.09,100000.0,0,0,0.0,100000.0,,,263.04,6.903571428571415,
2025-07-31,264.62,100000.0,0,0,0.0,100000.0,,292.2,264.36,7.864999999999989,
2025-08-01,263.07,100000.0,0,0,0.0,100000.0,,292.2,264.62,7.7542857142857065,
2025-08-04,266.48,100000.0,0,0,0.0,100000.0,,292.2,262.75,7.739999999999993,
2025-08-05,265.7,100000.0,0,0,0.0,100000.0,,292.2,261.7,7.728571428571423,
2025-08-06,265.0,100000.0,0,0,0.0,100000.0,,292.2,261.7,7.748571428571422,
2025-08-07,263.05,100000.0,0,0,0.0,100000.0,,292.2,261.7,7.558571428571424,
2025-08-08,263.48,100000.0,0,0,0.0,100000.0,,292.2,261.7,7.0835714285714255,
2025-08-11,263.66,100000.0,0,0,0.0,100000.0,,292.2,261.7,6.571428571428568,
2025-08-12,263.25,100000.0,0,0,0.0,100000.0,,292.2,261.7,6.80714285714285,
2025-08-13,273.6,100000.0,0,0,0.0,100000.0,,292.2,257.72,7.197142857142852,
2025-08-14,279.89,100000.0,0,0,0.0,100000.0,,292.2,257.72,7.55071428571428,
2025-08-15,280.67,100000.0,0,0,0.0,100000.0,,292.2,257.72,7.437142857142853,
2025-08-18,283.0,100000.0,0,0,0.0,100000.0,,292.2,257.72,7.562857142857142,
2025-08-19,277.8,100000.0,0,0,0.0,100000.0,,292.2,257.72,6.987142857142857,
2025-08-20,279.2,100000.0,0,0,0.0,100000.0,,292.2,257.72,6.314285714285712,
2025-08-21,279.0,100000.0,0,0,0.0,100000.0,,292.2,257.72,6.310714285714283,
2025-08-22,287.18,100000.0,0,0,0.0,100000.0,,292.2,257.72,6.6285714285714255,
2025-08-25,290.28,100000.0,0,0,0.0,100000.0,,292.2,257.72,6.742857142857141,
2025-08-26,289.5,100000.0,0,0,0.0,100000.0,,293.88,257.72,6.86714285714286,
2025-08-27,278.3,100000.0,0,0,0.0,100000.0,,293.88,264.51,7.3714285714285745,
2025-08-28,277.41,100000.0,0,0,0.0,100000.0,,293.88,272.05,7.522857142857142,
2025-08-29,306.18,69688.18,99,1,30311.82,100000.0,BUY,293.88,272.05,10.065714285714288,286.04857142857145
2025-09-01,304.0,69688.18,99,1,30096.0,99784.18,,316.66,272.05,10.075714285714286,286.04857142857145
2025-09-02,302.87,69688.18,99,1,29984.13,99672.31,,316.66,272.05,10.098571428571432,286.04857142857145
2025-09-03,309.0,69688.18,99,1,30591.0,100279.18,,316.66,272.05,10.12571428571429,286.04857142857145
2025-09-04,304.03,69688.18,99,1,30098.969999999998,99787.15,,316.66,272.72,11.304285714285717,286.04857142857145
2025-09-05,325.11,43679.37999999999,179,2,58194.69,101874.06999999999,ADD,323.33,272.72,12.577857142857145,299.95428571428573
2025-09-08,325.37,43679.37999999999,179,2,58241.23,101920.60999999999,,325.11,272.72,13.032857142857145,299.95428571428573
2025-09-09,320.0,43679.37999999999,179,2,57280.0,100959.37999999999,,337.65,272.72,13.709999999999999,299.95428571428573
2025-09-10,316.04,43679.37999999999,179,2,56571.16,100250.54,,337.65,272.72,14.081428571428571,299.95428571428573
2025-09-11,322.55,43679.37999999999,179,2,57736.450000000004,101415.82999999999,,337.65,272.72,14.309285714285712,299.95428571428573
2025-09-12,325.0,43679.37999999999,179,2,58175.0,101854.37999999999,,337.65,277.95,14.352142857142853,299.95428571428573
2025-09-15,354.7,22042.67999999999,240,3,85128.0,107170.68,ADD,337.65,299.03,17.288571428571423,320.12285714285713
2025-09-16,353.42,22042.67999999999,240,3,84820.8,106863.48,,371.52,299.03,17.227857142857136,320.12285714285713
2025-09-17,377.1,170.87999999998647,298,4,112375.8,112546.68,ADD,371.52,299.82,18.812857142857133,339.47428571428577
2025-09-18,366.89,170.87999999998647,298,4,109333.22,109504.09999999999,,381.88,299.82,17.380714285714276,339.47428571428577
2025-09-19,368.49,170.87999999998647,298,4,109810.02,109980.9,,381.88,299.82,17.837142857142847,339.47428571428577
2025-09-22,370.05,170.87999999998647,298,4,110274.90000000001,110445.78,,381.88,309.04,17.68499999999999,339.47428571428577
2025-09-23,368.15,170.87999999998647,298,4,109708.7,109879.57999999999,,381.88,309.04,18.269285714285704,339.47428571428577
2025-09-24,379.93,170.87999999998647,298,4,113219.14,113390.01999999999,,381.88,309.04,17.64357142857142,339.47428571428577
2025-09-25,392.85,170.87999999998647,298,4,117069.3,117240.18,,381.88,309.04,17.70285714285713,339.47428571428577
2025-09-26,380.4,170.87999999998647,298,4,113359.2,113530.07999999999,,402.59,322.2,18.119999999999987,339.47428571428577
2025-09-29,397.37,170.87999999998647,298,4,118416.26,118587.13999999998,,402.59,344.02,18.267857142857135,339.47428571428577
2025-09-30,402.0,170.87999999998647,298,4,119796.0,119966.87999999999,,402.59,348.5,18.54499999999999,339.47428571428577
2025-10-09,409.89,170.87999999998647,298,4,122147.22,122318.09999999999,,408.88,354.0,19.307857142857134,339.47428571428577
2025-10-10,381.95,170.87999999998647,298,4,113821.09999999999,113991.97999999998,,424.36,360.0,20.96357142857142,339.47428571428577
2025-10-13,374.5,170.87999999998647,298,4,111601.0,111771.87999999999,,424.36,360.0,19.193571428571424,339.47428571428577
2025-10-14,358.0,106854.87999999999,0,0,0.0,106854.87999999999,SELL,424.36,360.0,20.588571428571424,
2025-10-15,369.3,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,355.77,19.623571428571427,
2025-10-16,368.5,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,18.923571428571424,
2025-10-17,358.14,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,19.210714285714285,
2025-10-20,366.5,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,19.268571428571423,
2025-10-21,375.9,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,19.360714285714284,
2025-10-22,372.86,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,19.127857142857142,
2025-10-23,376.45,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,17.962142857142858,
2025-10-24,385.77,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,17.345000000000002,
2025-10-27,386.18,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,17.126428571428573,
2025-10-28,386.48,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,16.976428571428578,
2025-10-29,400.0,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,354.76,16.313571428571436,
2025-10-30,398.29,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,356.99,14.982857142857151,
2025-10-31,388.77,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,356.99,14.758571428571438,
2025-11-03,386.86,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,359.53,13.76642857142858,
2025-11-04,378.95,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,363.1,13.617142857142868,
2025-11-05,388.7,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,368.2,14.445714285714299,
2025-11-06,394.68,106854.87999999999,0,0,0.0,106854.87999999999,,424.36,369.0,13.930000000000016,
2025-11-07,395.37,106854.87999999999,0,0,0.0,106854.87999999999,,409.08,372.0,13.778571428571443,
2025-11-10,384.51,106854.87999999999,0,0,0.0,106854.87999999999,,409.08,372.0,13.688571428571445,
2025-11-11,385.6,106854.87999999999,0,0,0.0,106854.87999999999,,409.08,372.0,13.659285714285728,
2025-11-12,386.38,106854.87999999999,0,0,0.0,106854.87999999999,,409.08,372.0,13.602857142857156,
2025-11-13,415.6,78178.47999999998,69,1,28676.4,106854.87999999998,BUY,409.08,372.0,15.381428571428582,384.83714285714285
2025-11-14,404.12,78178.47999999998,69,1,27884.28,106062.75999999998,,421.3,372.0,15.045000000000012,384.83714285714285
2025-11-17,390.78,78178.47999999998,69,1,26963.82,105142.29999999999,,421.3,372.0,15.819285714285725,384.83714285714285
2025-11-18,385.0,78178.47999999998,69,1,26565.0,104743.47999999998,,421.3,372.0,15.982857142857151,384.83714285714285
2025-11-19,391.1,78178.47999999998,69,1,26985.9,105164.37999999998,,421.3,372.0,16.070714285714295,384.83714285714285
2025-11-20,379.39,104356.38999999998,0,0,0.0,104356.38999999998,SELL,421.3,381.0,16.027142857142866,
2025-11-21,370.0,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,377.01,15.802857142857148,
2025-11-24,370.55,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,370.0,15.435714285714287,
2025-11-25,372.36,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,367.18,14.586428571428574,
2025-11-26,372.82,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,367.18,14.203571428571431,
2025-11-27,371.2,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,367.18,14.221428571428573,
2025-11-28,373.2,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,367.18,13.67357142857143,
2025-12-01,382.97,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,366.16,13.637857142857147,
2025-12-02,380.08,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,366.16,13.535714285714294,
2025-12-03,376.08,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,366.16,11.544285714285722,
2025-12-04,383.35,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,366.16,11.310714285714296,
2025-12-05,389.09,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,366.16,10.288571428571439,
2025-12-08,392.5,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,366.16,9.73500000000001,
2025-12-09,387.59,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,366.16,9.23642857142858,
2025-12-10,382.38,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,366.16,8.718571428571437,
2025-12-11,388.99,104356.38999999998,0,0,0.0,104356.38999999998,,421.3,366.16,8.967142857142866,
2025-12-12,391.8,104356.38999999998,0,0,0.0,104356.38999999998,,414.6,366.16,8.979285714285725,
2025-12-15,385.5,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,374.03,9.0257142857143,
2025-12-16,378.41,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,375.0,9.42714285714287,
2025-12-17,383.42,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,375.0,9.467142857142871,
2025-12-18,372.0,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,375.06,9.75928571428573,
2025-12-19,374.0,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,370.01,9.552857142857155,
2025-12-22,371.84,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,370.01,9.717857142857152,
2025-12-23,378.1,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,368.1,9.755714285714292,
2025-12-24,375.6,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,368.1,9.587857142857148,
2025-12-25,373.01,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,368.1,9.528571428571436,
2025-12-26,374.43,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,368.1,9.387142857142862,
2025-12-29,369.31,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,368.1,9.382142857142863,
2025-12-30,369.2,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,368.0,8.932142857142862,
2025-12-31,367.26,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,366.56,8.101428571428576,
2026-01-05,377.5,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,366.56,8.305000000000007,
2026-01-06,373.99,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,366.56,8.426428571428573,
2026-01-07,371.01,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,366.56,8.136428571428572,
2026-01-08,369.21,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,366.56,7.9142857142857155,
2026-01-09,369.23,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,366.56,7.714999999999999,
2026-01-12,361.68,104356.38999999998,0,0,0.0,104356.38999999998,,398.86,366.56,8.478571428571428,
2026-01-13,359.0,104356.38999999998,0,0,0.0,104356.38999999998,,394.97,351.66,8.54142857142857,
2026-01-14,353.98,104356.38999999998,0,0,0.0,104356.38999999998,,394.97,351.66,8.585000000000004,
2026-01-15,353.75,104356.38999999998,0,0,0.0,104356.38999999998,,389.08,351.66,8.612142857142857,
2026-01-16,352.32,104356.38999999998,0,0,0.0,104356.38999999998,,384.5,351.66,8.87857142857143,
2026-01-19,348.9,104356.38999999998,0,0,0.0,104356.38999999998,,380.95,351.51,9.029285714285717,
2026-01-20,349.6,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,345.33,9.213571428571433,
2026-01-21,349.81,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,345.33,9.517142857142861,
2026-01-22,345.8,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,345.33,10.187142857142861,
2026-01-23,347.0,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,339.5,9.902142857142861,
2026-01-26,342.05,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,339.5,9.893571428571436,
2026-01-27,339.4,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,339.5,10.171428571428578,
2026-01-28,339.99,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,334.02,10.504285714285723,
2026-01-29,341.89,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,333.01,10.245714285714294,
2026-01-30,350.0,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,333.01,9.838571428571438,
2026-02-02,348.98,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,333.01,10.059285714285725,
2026-02-03,347.91,104356.38999999998,0,0,0.0,104356.38999999998,,380.5,333.01,10.044285714285722,
2026-02-04,365.03,104356.38999999998,0,0,0.0,104356.38999999998,,377.63,333.01,10.948571428571439,
2026-02-05,362.94,104356.38999999998,0,0,0.0,104356.38999999998,,377.63,333.01,10.985714285714295,
2026-02-06,369.11,104356.38999999998,0,0,0.0,104356.38999999998,,377.63,333.01,11.332857142857153,
2026-02-09,368.82,104356.38999999998,0,0,0.0,104356.38999999998,,372.88,333.01,11.396428571428576,
2026-02-10,364.97,104356.38999999998,0,0,0.0,104356.38999999998,,372.88,333.01,11.261428571428578,
2026-02-11,368.0,104356.38999999998,0,0,0.0,104356.38999999998,,372.88,333.01,10.708571428571434,
2026-02-12,375.87,68648.73999999999,95,1,35707.65,104356.38999999998,BUY,372.88,338.16,10.932142857142862,354.0057142857143
2026-02-13,365.34,68648.73999999999,95,1,34707.299999999996,103356.03999999998,,377.88,343.5,10.978571428571431,354.0057142857143
2026-02-24,361.95,68648.73999999999,95,1,34385.25,103033.98999999999,,377.88,343.5,11.026428571428577,354.0057142857143
2026-02-25,362.18,68648.73999999999,95,1,34407.1,103055.84,,377.88,343.5,10.70571428571429,354.0057142857143
2026-02-26,346.0,101518.73999999999,0,0,0.0,101518.73999999999,SELL,377.88,347.51,11.540000000000004,
2026-02-27,342.01,101518.73999999999,0,0,0.0,101518.73999999999,,377.88,343.5,11.187142857142861,
2026-03-02,340.22,101518.73999999999,0,0,0.0,101518.73999999999,,377.88,342.01,10.784285714285716,
2026-03-03,344.07,101518.73999999999,0,0,0.0,101518.73999999999,,377.88,336.68,11.129285714285714,
2026-03-04,338.9,101518.73999999999,0,0,0.0,101518.73999999999,,377.88,336.68,10.467142857142859,
2026-03-05,350.25,101518.73999999999,0,0,0.0,101518.73999999999,,377.88,334.2,10.768571428571432,
2026-03-06,354.77,101518.73999999999,0,0,0.0,101518.73999999999,,377.88,334.2,10.589285714285714,
2026-03-09,357.5,101518.73999999999,0,0,0.0,101518.73999999999,,377.88,334.2,10.938571428571432,
2026-03-10,376.3,101518.73999999999,0,0,0.0,101518.73999999999,,377.88,334.2,12.043571428571429,
2026-03-11,396.8,71758.73999999999,75,1,29760.0,101518.73999999999,BUY,379.77,334.2,13.526428571428571,369.7471428571429
2026-03-12,395.5,71758.73999999999,75,1,29662.5,101421.23999999999,,403.55,334.2,13.406428571428572,369.7471428571429
2026-03-13,397.0,71758.73999999999,75,1,29775.0,101533.73999999999,,403.55,334.2,13.277857142857142,369.7471428571429
2026-03-16,408.4,41128.73999999999,150,2,61260.0,102388.73999999999,ADD,403.99,334.2,13.607857142857142,381.1842857142857
2026-03-17,405.0,41128.73999999999,150,2,60750.0,101878.73999999999,,413.17,334.2,14.24642857142857,381.1842857142857
2026-03-18,402.02,41128.73999999999,150,2,60303.0,101431.73999999999,,420.0,334.2,13.571428571428571,381.1842857142857
2026-03-19,400.5,41128.73999999999,150,2,60075.0,101203.73999999999,,420.0,342.66,14.07642857142857,381.1842857142857
2026-03-20,413.0,41128.73999999999,150,2,61950.0,103078.73999999999,,420.0,344.66,15.057142857142859,381.1842857142857
2026-03-23,401.99,41128.73999999999,150,2,60298.5,101427.23999999999,,422.08,345.06,15.377142857142859,381.1842857142857
2026-03-24,396.99,41128.73999999999,150,2,59548.5,100677.23999999999,,422.08,366.5,16.379285714285714,381.1842857142857
2026-03-25,397.81,41128.73999999999,150,2,59671.5,100800.23999999999,,422.08,378.98,16.218571428571426,381.1842857142857
2026-03-26,402.5,41128.73999999999,150,2,60375.0,101503.73999999999,,422.08,387.8,16.88714285714286,381.1842857142857
2026-03-27,416.18,16157.939999999991,210,3,87397.8,103555.73999999999,ADD,422.08,387.8,17.01642857142857,382.14714285714285
2026-03-30,413.0,16157.939999999991,210,3,86730.0,102887.93999999999,,422.08,387.8,16.372142857142855,382.14714285714285
2026-03-31,401.7,16157.939999999991,210,3,84357.0,100514.93999999999,,422.08,387.8,15.523571428571428,382.14714285714285
2026-04-01,405.71,16157.939999999991,210,3,85199.09999999999,101357.03999999998,,422.08,387.8,15.928571428571429,382.14714285714285
2026-04-02,401.17,16157.939999999991,210,3,84245.7,100403.63999999998,,422.08,387.8,16.25714285714286,382.14714285714285
2026-04-03,386.46,97314.53999999998,0,0,0.0,97314.53999999998,SELL,422.08,387.8,16.247857142857146,
2026-04-07,384.59,97314.53999999998,0,0,0.0,97314.53999999998,,422.08,385.13,15.981428571428571,
2026-04-08,391.3,97314.53999999998,0,0,0.0,97314.53999999998,,422.08,381.49,16.255,
2026-04-09,389.99,97314.53999999998,0,0,0.0,97314.53999999998,,422.08,381.49,15.79928571428571,
2026-04-10,416.0,97314.53999999998,0,0,0.0,97314.53999999998,,422.08,381.49,16.303571428571423,
2026-04-13,427.13,71686.73999999998,60,1,25627.8,97314.53999999998,BUY,422.08,381.49,16.21214285714285,394.7057142857143
2026-04-14,430.79,71686.73999999998,60,1,25847.4,97534.13999999998,,433.33,381.49,15.797142857142855,394.7057142857143
2026-04-15,431.0,71686.73999999998,60,1,25860.0,97546.73999999998,,433.33,381.49,15.774999999999997,394.7057142857143
2026-04-16,453.98,44447.93999999997,120,2,54477.600000000006,98925.53999999998,ADD,439.46,381.49,16.294999999999995,421.39000000000004
2026-04-17,444.2,44447.93999999997,120,2,53304.0,97751.93999999997,,460.0,381.49,16.297142857142855,421.39000000000004
2026-04-20,432.5,44447.93999999997,120,2,51900.0,96347.93999999997,,460.0,381.49,16.65,421.39000000000004
2026-04-21,447.6,44447.93999999997,120,2,53712.0,98159.93999999997,,460.0,381.49,17.339999999999996,421.39000000000004
2026-04-22,436.35,44447.93999999997,120,2,52362.0,96809.93999999997,,460.0,386.66,17.409285714285712,421.39000000000004
2026-04-23,438.9,44447.93999999997,120,2,52668.0,97115.93999999997,,460.0,386.66,16.967142857142854,421.39000000000004
2026-04-24,444.9,44447.93999999997,120,2,53388.0,97835.93999999997,,460.0,392.68,16.56785714285714,421.39000000000004
2026-04-27,434.88,44447.93999999997,120,2,52185.6,96633.53999999998,,460.0,414.4,16.799999999999994,421.39000000000004
2026-04-28,427.67,44447.93999999997,120,2,51320.4,95768.33999999997,,460.0,414.4,16.71571428571428,421.39000000000004
2026-04-29,445.0,44447.93999999997,120,2,53400.0,97847.93999999997,,460.0,423.0,17.419999999999995,421.39000000000004
2026-04-30,436.0,44447.93999999997,120,2,52320.0,96767.93999999997,,460.0,423.0,16.312142857142852,421.39000000000004
2026-05-06,460.0,44447.93999999997,120,2,55200.0,99647.93999999997,,460.0,423.0,17.208571428571425,421.39000000000004
2026-05-07,451.64,44447.93999999997,120,2,54196.799999999996,98644.73999999996,,465.88,423.0,17.469999999999995,421.39000000000004
2026-05-08,437.0,44447.93999999997,120,2,52440.0,96887.93999999997,,468.75,423.0,17.963571428571424,421.39000000000004
2026-05-11,446.11,44447.93999999997,120,2,53533.200000000004,97981.13999999998,,468.75,423.0,16.992857142857137,421.39000000000004
2026-05-12,431.25,44447.93999999997,120,2,51750.0,96197.93999999997,,468.75,423.0,17.05928571428571,421.39000000000004
2026-05-13,434.05,44447.93999999997,120,2,52086.0,96533.93999999997,,468.75,423.0,16.438571428571425,421.39000000000004
2026-05-14,427.0,44447.93999999997,120,2,51240.0,95687.93999999997,,468.75,423.0,16.32571428571428,421.39000000000004
2026-05-15,423.6,44447.93999999997,120,2,50832.0,95279.93999999997,,468.75,423.0,16.015714285714278,421.39000000000004
2026-05-18,417.23,94515.53999999998,0,0,0.0,94515.53999999998,SELL,468.75,421.0,16.08714285714285,
2026-05-19,417.92,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,414.0,16.276428571428564,
2026-05-20,414.75,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,406.8,15.945714285714278,
2026-05-21,411.63,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,406.8,16.254285714285707,
2026-05-22,411.16,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,406.8,15.469999999999995,
2026-05-25,402.88,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,406.8,15.541428571428566,
2026-05-26,402.5,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,400.0,14.007857142857135,
2026-05-27,414.8,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,400.0,14.339999999999991,
2026-05-28,415.68,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,400.0,13.988571428571419,
2026-05-29,424.0,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,400.0,13.97214285714285,
2026-06-01,420.1,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,400.0,14.150714285714278,
2026-06-02,433.89,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,400.0,14.732857142857133,
2026-06-03,426.42,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,400.0,14.26499999999999,
2026-06-04,408.2,94515.53999999998,0,0,0.0,94515.53999999998,,468.75,400.0,14.923571428571417,
2026-06-05,403.0,94515.53999999998,0,0,0.0,94515.53999999998,,455.5,400.0,14.948571428571414,
2026-06-08,393.02,94515.53999999998,0,0,0.0,94515.53999999998,,450.51,400.0,14.89142857142856,
2026-06-09,399.5,94515.53999999998,0,0,0.0,94515.53999999998,,450.45,390.7,15.144285714285704,
2026-06-10,388.5,94515.53999999998,0,0,0.0,94515.53999999998,,450.45,388.0,15.014285714285705,
2026-06-11,382.2,94515.53999999998,0,0,0.0,94515.53999999998,,450.45,385.12,15.357857142857133,
2026-06-12,394.85,94515.53999999998,0,0,0.0,94515.53999999998,,438.24,380.03,15.56071428571428,
